brand,breadcrumbs,colour,description,image_url,price,product_id,product_name,reviews,sizes,sku
,,,,//carbon38.com/cdn/shop/files/CARB-YD329-WHT-23SM-Wrap-Neck-Tank-color-White_25099.jpg?v=1686270587&width=1000,,,Wrap Neck Tank,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD6069-QUIETHRBR-24SS-Short-Sleeve-Sweater-color-Quiet-Harbor-White-Stripe_39267.jpg?v=1706726416&width=1000,,,Short Sleeve Sweater,,,
,,,,//carbon38.com/cdn/shop/products/ARTE-AD02-114-54B9-ORNGORNGDRK-LEXI-CROP-color-CLAY_1479.jpg?v=1679959778&width=1000,,,Lexi Cashmere Crop,,,
,,,,//carbon38.com/cdn/shop/products/CARB-YD614SP-BLUE-22HOL-RHINESTONE-OVERSIZED-BUTTON-UP-SHIRT-color-Blue-with-Silver-Rhinestones1.jpg?v=1670614453&width=1000,,,RHINESTONE OVERSIZED BUTTON UP SHIRT,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD6013-WHT-23SM-L-S-Wrap-Neck-Shirt-color-White_25231.jpg?v=1686271913&width=1000,,,Long Sleeve Wrap Neck Shirt,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD638A-PICKLED-BEET-23SS-Short-Sleeve-Pocket-Tee-color-PICKLED-BEET_0044.jpg?v=1682455621&width=1000,,,Short Sleeve Pocket Tee,,,
,,,,//carbon38.com/cdn/shop/products/CARB-YD324-PRPL-23SM-Crochet-Tank-in-melt-color-Pickled-Beet_0048.jpg?v=1680717403&width=1000,,,Crochet Tank in Melt,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD6018S-WHT-23FAL-Twisted-Tunic-Shirt-color-White-Tan-Stripe_40795.jpg?v=1695065958&width=1000,,,Twisted Tunic Shirt,,,
,,,,//carbon38.com/cdn/shop/products/PACO-21HJTE054CO0410-TIEBLU-tee-shirt-Color-M414_366da9a7-c3ee-416c-bf43-94652d30b745.jpg?v=1661380669&width=1000,,,Tee Shirt,,,
,,,,//carbon38.com/cdn/shop/products/CARB-CRB22069-RED-23SS-Ombre-French-Terry-Half-Zip-Horseshoe-color-Merlot-to-Magenta-Haze_1641.jpg?v=1680034204&width=1000,,,Ombre French Terry Half Zip // Horseshoe,,,
,,,,//carbon38.com/cdn/shop/products/CARB-CRB22044-BLUE-23SS-FRENCH-TERRY-HALF-ZIP-color-CLEARLY-AQUA_4443.jpg?v=1677801922&width=1000,,,FRENCH TERRY HALF ZIP,,,
,,,,//carbon38.com/cdn/shop/products/CARB-YD617-PNK-22SM-Sleeveless_Wrap_Top-color-Confetto_9018_fa631fed-eeaa-4a29-8318-002457f0b4ef.jpg?v=1666901381&width=1000,,,Sleeveless Wrap Top,,,
,,,,//carbon38.com/cdn/shop/products/ARTE-AD03-119-54B9-OLVEOLVDRK-Sia-Cardigan-color-OLIVE_1129.jpg?v=1679963457&width=1000,,,Sia Cashmere Cardigan,,,
,,,,//carbon38.com/cdn/shop/products/CARB-CRB31272-BRWN-22HOL-CableKnitCardigan-color-Mushroom3095.jpg?v=1669942401&width=1000,,,Cable Knit Cardigan,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD638A-MERLOT-23FAL-Short-Sleeve-Pocket-Tee-color-Merlot_1987-Edit.jpg?v=1691513290&width=1000,,,Short Sleeve Pocket Tee,,,
,,,,//carbon38.com/cdn/shop/products/CARB-CRB22060-BLUE-23SS-EMBROIDERED-FRENCH-TERRY-CREW-SWEATSHIRT-color-NAVY-LOBSTER_19383.jpg?v=1674696503&width=1000,,,EMBROIDERED FRENCH TERRY CREW SWEATSHIRT,,,
,,,,//carbon38.com/cdn/shop/products/CARB-CRB22069-BRWN-23SS-Ombre-French-Terry-Half-Zip-Cactus-color-Caramel-Cafe-to-Rose-Cloud_16126.jpg?v=1681318274&width=1000,,,Ombre French Terry Half Zip / Cactus,,,
,,,,//carbon38.com/cdn/shop/products/PACO-21AJTE056CO0421-GRABLK-tee-shirt-Color-BLACK_9a1423a0-9f20-46e3-9341-5683634d7125.jpg?v=1661380669&width=1000,,,Tee Shirt,,,
